Title,Price,Link
Ultimus Neo Intel Core i3 10th Gen Neo - (8 GB/256 GB SSD/Windows 11 Home) NU14U3INT54BN-BK Thin and L...,"₹19,990",https://www.flipkart.com/ultimus-neo-intel-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-nu14u3int54bn-bk-thin-light-laptop/p/itmf3e3c937541c5?pid=COMGQHHDJWNMEHHK&lid=LSTCOMGQHHDJWNMEHHKYJADXH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_131&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGQHHDJWNMEHHK.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
Acer AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop,"₹29,990",https://www.flipkart.com/acer-amd-ryzen-3-quad-core-5300u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH28U4WDFBUKP3&lid=LSTCOMH28U4WDFBUKP3PFEZVB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_132&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMH28U4WDFBUKP3.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
MSI Thin 15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹65,990",https://www.flipkart.com/msi-thin-15-intel-core-i7-13th-gen-13620h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b13ucx-1806in-gaming-laptop/p/itm70296a5ce8800?pid=COMGYSFGFES68YNZ&lid=LSTCOMGYSFGFES68YNZYSTZRL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_133&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGYSFGFES68YNZ.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
Colorful XS Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹47,990",https://www.flipkart.com/colorful-xs-series-intel-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-22-hd55016512b-g-ind-gaming-laptop/p/itm5b8eef5313e13?pid=COMH2HHJFGBR4D2T&lid=LSTCOMH2HHJFGBR4D2TRCAZ1T&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_134&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMH2HHJFGBR4D2T.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A324-45 Thin and Light...,"₹19,990",https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-256-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itm058a60377360b?pid=COMHFZYZHA5YJHS3&lid=LSTCOMHFZYZHA5YJHS30OEKLM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&iid=0ac3e949-e4ac-438e-a221-82eb55effa7f.COMHFZYZHA5YJHS3.SEARCH&ssid=2c8rb1hcf40000001733231254535&qH=312f91285e048e09
ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-LK54...,"₹46,990",https://www.flipkart.com/asus-vivobook-go-15-oled-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-e1504fa-lk541ws-thin-light-laptop/p/itm4297a9be166be?pid=COMGMGXFGZKJJGUN&lid=LSTCOMGMGXFGZKJJGUNJIXXG6&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_135&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGMGXFGZKJJGUN.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,"₹36,990",https://www.flipkart.com/msi-modern-14-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-c12m-440in-c12mo-1021in-thin-light-laptop/p/itm350222138d6bb?pid=COMGMV6VJGYVBZSM&lid=LSTCOMGMV6VJGYVBZSMEGXIZN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_136&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGMV6VJGYVBZSM.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,"₹58,690",https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm61c6731491b62?pid=COMGSC4EBMZDMEPD&lid=LSTCOMGSC4EBMZDMEPD87RXWV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_137&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGSC4EBMZDMEPD.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
MSI Modern 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-612IN ...,"₹34,690",https://www.flipkart.com/msi-modern-15-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-b12mo-612in-thin-light-laptop/p/itm60c14709fdf3b?pid=COMGYSFGT7MCYFJX&lid=LSTCOMGYSFGT7MCYFJXIDLSMH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_138&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGYSFGT7MCYFJX.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Ho...","₹46,990",https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj521ws-thin-light-laptop/p/itmbdf448415bf3b?pid=COMGZDQJ8RVSQZE8&lid=LSTCOMGZDQJ8RVSQZE8G3WDIQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_139&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGZDQJ8RVSQZE8.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
ASUS Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK321WS Th...,"₹30,850",https://www.flipkart.com/asus-vivobook-go-14-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1404fa-nk321ws-thin-light-laptop/p/itm37ab22cfcf18d?pid=COMH2TPS4KQNJXWH&lid=LSTCOMH2TPS4KQNJXWHAQRRG7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_140&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMH2TPS4KQNJXWH.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
